id,subcat_id,category,function,text
CSF-081,DE.AE-03,Adverse Event Analysis,DETECT,Information is correlated from multiple sources
CSF-082,DE.AE-04,Adverse Event Analysis,DETECT,The estimated impact and scope of adverse events are understood
CSF-083,DE.AE-06,Adverse Event Analysis,DETECT,Information on adverse events is provided to authorized staff and tools
CSF-084,DE.AE-07,Adverse Event Analysis,DETECT,Cyber threat intelligence and other contextual information are integrated into the analysis
CSF-085,DE.AE-08,Adverse Event Analysis,DETECT,Incidents are declared when adverse events meet the defined incident criteria
CSF-086,RS.MA-01,Incident Management,RESPOND,The incident response plan is executed in coordination with relevant third parties once an incident is declared
CSF-087,RS.MA-02,Incident Management,RESPOND,Incident reports are triaged and validated
CSF-088,RS.MA-03,Incident Management,RESPOND,Incidents are categorized and prioritized
CSF-089,RS.MA-04,Incident Management,RESPOND,Incidents are escalated or elevated as needed
CSF-090,RS.MA-05,Incident Management,RESPOND,The criteria for initiating incident recovery are applied
CSF-091,RS.AN-03,Incident Analysis,RESPOND,Analysis is performed to establish what has taken place during an incident and the root cause of the incident
CSF-092,RS.AN-06,Incident Analysis,RESPOND,"Actions performed during an investigation are recorded, and the records' integrity and provenance are preserved"
CSF-093,RS.AN-07,Incident Analysis,RESPOND,"Incident data and metadata are collected, and their integrity and provenance are preserved"
CSF-094,RS.AN-08,Incident Analysis,RESPOND,An incident's magnitude is estimated and validated
CSF-095,RS.CO-02,Incident Response Reporting and Communication,RESPOND,Internal and external stakeholders are notified of incidents
CSF-096,RS.CO-03,Incident Response Reporting and Communication,RESPOND,Information is shared with designated internal and external stakeholders
CSF-097,RS.MI-01,Incident Mitigation,RESPOND,Incidents are contained
CSF-098,RS.MI-02,Incident Mitigation,RESPOND,Incidents are eradicated
CSF-099,RC.RP-01,Incident Recovery Plan Execution,RECOVER,The recovery portion of the incident response plan is executed once initiated from the incident response process
CSF-100,RC.RP-02,Incident Recovery Plan Execution,RECOVER,"Recovery actions are selected, scoped, prioritized, and performed"
CSF-101,RC.RP-03,Incident Recovery Plan Execution,RECOVER,The integrity of backups and other restoration assets is verified before using them for restoration
CSF-102,RC.RP-04,Incident Recovery Plan Execution,RECOVER,Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms
CSF-103,RC.RP-05,Incident Recovery Plan Execution,RECOVER,"The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed"
CSF-104,RC.RP-06,Incident Recovery Plan Execution,RECOVER,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed"
CSF-105,RC.CO-03,Incident Recovery Communication,RECOVER,Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders
CSF-106,RC.CO-04,Incident Recovery Communication,RECOVER,Public updates on incident recovery are shared using approved methods and messaging
