candidate_id,tsa_id,tsa_section,tsa_text,target_corpus,target_id,target_text,rank,cosine_similarity,tentative_alignment_type
CAND-00016,TSA-006,2,Develop and maintain security elements within corporate incident response and recovery plan,CSF2.0,RC.RP-01,The recovery portion of the incident response plan is executed once initiated from the incident response process,1,0.2617,Partial
CAND-00017,TSA-006,2,Develop and maintain security elements within corporate incident response and recovery plan,CSF2.0,RS.MA-01,The incident response plan is executed in coordination with relevant third parties once an incident is declared,2,0.1759,Related
CAND-00018,TSA-006,2,Develop and maintain security elements within corporate incident response and recovery plan,CSF2.0,GV.SC-08,"Relevant suppliers and other third parties are included in incident planning, response, and recovery activities",3,0.1757,Related
CAND-00019,TSA-007,2,Implement appropriate threat level protective measures upon NTAS receipt,CSF2.0,DE.AE-07,Cyber threat intelligence and other contextual information are integrated into the analysis,1,0.0502,No Match
CAND-00020,TSA-007,2,Implement appropriate threat level protective measures upon NTAS receipt,CSF2.0,GV.RM-04,Strategic direction that describes appropriate risk response options is established and communicated,2,0.0468,No Match
CAND-00021,TSA-007,2,Implement appropriate threat level protective measures upon NTAS receipt,CSF2.0,ID.RA-02,Cyber threat intelligence is received from information sharing forums and sources,3,0.0462,No Match
CAND-00022,TSA-008,2,Notify TSA of security incidents meeting criteria in Appendix B by phone or email,CSF2.0,DE.AE-08,Incidents are declared when adverse events meet the defined incident criteria,1,0.0886,Related
CAND-00023,TSA-008,2,Notify TSA of security incidents meeting criteria in Appendix B by phone or email,CSF2.0,RS.MI-01,Incidents are contained,2,0.0803,Related
CAND-00024,TSA-008,2,Notify TSA of security incidents meeting criteria in Appendix B by phone or email,CSF2.0,RS.MI-02,Incidents are eradicated,3,0.0803,Related
CAND-00025,TSA-009,3.1,Identify the primary and alternate security manager responsible for executing plan,CSF2.0,GV.RR-01,"Organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware, ethical, and continually improving",1,0.0463,No Match
CAND-00026,TSA-009,3.1,Identify the primary and alternate security manager responsible for executing plan,CSF2.0,RS.MA-01,The incident response plan is executed in coordination with relevant third parties once an incident is declared,2,0.0407,No Match
CAND-00027,TSA-009,3.1,Identify the primary and alternate security manager responsible for executing plan,CSF2.0,RC.RP-01,The recovery portion of the incident response plan is executed once initiated from the incident response process,3,0.0362,No Match
CAND-00028,TSA-010,3.1,Document company's security-related policies and procedures,CSF2.0,GV.RR-02,"Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced",1,0.0743,No Match
CAND-00029,TSA-010,3.1,Document company's security-related policies and procedures,CSF2.0,RC.RP-06,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed",2,0.0699,No Match
CAND-00030,TSA-010,3.1,Document company's security-related policies and procedures,CSF2.0,ID.IM-03,"Improvements are identified from execution of operational processes, procedures, and activities",3,0.0473,No Match
CAND-00031,TSA-011,3.1,"Reference other company plans, policies and procedures such as insider threat",CSF2.0,ID.IM-04,"Incident response plans and other cybersecurity plans that affect operations are established, communicated, maintained, and improved",1,0.1003,Related
CAND-00032,TSA-011,3.1,"Reference other company plans, policies and procedures such as insider threat",CSF2.0,DE.AE-07,Cyber threat intelligence and other contextual information are integrated into the analysis,2,0.0562,No Match
CAND-00033,TSA-011,3.1,"Reference other company plans, policies and procedures such as insider threat",CSF2.0,ID.RA-02,Cyber threat intelligence is received from information sharing forums and sources,3,0.0517,No Match
CAND-00034,TSA-012,3.1,"Be reviewed on an annual basis, and updated as required based on findings",CSF2.0,GV.PO-02,"Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission",1,0.0916,Related
CAND-00035,TSA-012,3.1,"Be reviewed on an annual basis, and updated as required based on findings",CSF2.0,GV.OV-03,Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed,2,0.0512,No Match
CAND-00036,TSA-012,3.1,"Be reviewed on an annual basis, and updated as required based on findings",CSF2.0,PR.AA-02,Identities are proofed and bound to credentials based on the context of interactions,3,0.0489,No Match
CAND-00037,TSA-013,3.1,Be protected from unauthorized access based on company policy,CSF2.0,PR.IR-01,Networks and environments are protected from unauthorized logical access and usage,1,0.2524,Partial
CAND-00038,TSA-013,3.1,Be protected from unauthorized access based on company policy,CSF2.0,GV.PO-01,"Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced",2,0.0946,Related
CAND-00039,TSA-013,3.1,Be protected from unauthorized access based on company policy,CSF2.0,PR.AA-05,"Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties",3,0.0717,No Match
CAND-00040,TSA-014,3.1,Be provided to TSA for review upon request,CSF2.0,ID.AM-04,Inventories of services provided by suppliers are maintained,1,0.1083,Related
CAND-00041,TSA-014,3.1,Be provided to TSA for review upon request,CSF2.0,DE.AE-06,Information on adverse events is provided to authorized staff and tools,2,0.0889,Related
CAND-00042,TSA-014,3.1,Be provided to TSA for review upon request,CSF2.0,PR.AT-01,Personnel are provided with awareness and training so that they possess the knowledge and skills to perform general tasks with cybersecurity risks in mind,3,0.0639,No Match
CAND-00043,TSA-015,4.2,"Conduct facility criticality assessments on a periodic basis, not to exceed 18 months",CSF2.0,GV.SC-04,Suppliers are known and prioritized by criticality,1,0.0744,No Match
CAND-00044,TSA-015,4.2,"Conduct facility criticality assessments on a periodic basis, not to exceed 18 months",CSF2.0,ID.AM-05,"Assets are prioritized based on classification, criticality, resources, and impact on the mission",2,0.0511,No Match
CAND-00045,TSA-015,4.2,"Conduct facility criticality assessments on a periodic basis, not to exceed 18 months",CSF2.0,RC.RP-06,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed",3,0.0,No Match
CAND-00046,TSA-016,4.2,"Document the methodology used, and retain criticality assessment until no longer valid",CSF2.0,GV.SC-04,Suppliers are known and prioritized by criticality,1,0.0777,No Match
CAND-00047,TSA-016,4.2,"Document the methodology used, and retain criticality assessment until no longer valid",CSF2.0,ID.RA-05,"Threats, vulnerabilities, likelihoods, and impacts are used to understand inherent risk and inform risk response prioritization",2,0.055,No Match
CAND-00048,TSA-016,4.2,"Document the methodology used, and retain criticality assessment until no longer valid",CSF2.0,ID.AM-05,"Assets are prioritized based on classification, criticality, resources, and impact on the mission",3,0.0533,No Match
CAND-00049,TSA-017,4.2,Conduct an SVA for facilities determined to be critical,CSF2.0,ID.RA-10,Critical suppliers are assessed prior to acquisition,1,0.0598,No Match
CAND-00050,TSA-017,4.2,Conduct an SVA for facilities determined to be critical,CSF2.0,GV.OC-04,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated",2,0.0395,No Match
CAND-00051,TSA-017,4.2,Conduct an SVA for facilities determined to be critical,CSF2.0,RC.RP-04,Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms,3,0.0387,No Match
CAND-00052,TSA-018,4.2,Maintain and secure the company's list of critical facilities,CSF2.0,ID.RA-10,Critical suppliers are assessed prior to acquisition,1,0.0537,No Match
CAND-00053,TSA-018,4.2,Maintain and secure the company's list of critical facilities,CSF2.0,PR.PS-06,"Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle",2,0.048,No Match
CAND-00054,TSA-018,4.2,Maintain and secure the company's list of critical facilities,CSF2.0,GV.OC-04,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated",3,0.0354,No Match
CAND-00055,TSA-019,4.3,"Conduct an SVA on a periodic basis, not to exceed 36 months",CSF2.0,RC.CO-04,Public updates on incident recovery are shared using approved methods and messaging,1,0.0,No Match
CAND-00056,TSA-019,4.3,"Conduct an SVA on a periodic basis, not to exceed 36 months",CSF2.0,RC.CO-03,Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders,2,0.0,No Match
CAND-00057,TSA-019,4.3,"Conduct an SVA on a periodic basis, not to exceed 36 months",CSF2.0,RC.RP-06,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed",3,0.0,No Match
CAND-00058,TSA-020,4.3,Conduct SVA within 12 months after completion of significant enhancement,CSF2.0,RC.CO-04,Public updates on incident recovery are shared using approved methods and messaging,1,0.0,No Match
CAND-00059,TSA-020,4.3,Conduct SVA within 12 months after completion of significant enhancement,CSF2.0,RC.CO-03,Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders,2,0.0,No Match
CAND-00060,TSA-020,4.3,Conduct SVA within 12 months after completion of significant enhancement,CSF2.0,RC.RP-06,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed",3,0.0,No Match
CAND-00061,TSA-021,4.3,Conduct SVA for newly identified or constructed critical facilities within 12 months,CSF2.0,ID.IM-01,Improvements are identified from evaluations,1,0.0765,No Match
CAND-00062,TSA-021,4.3,Conduct SVA for newly identified or constructed critical facilities within 12 months,CSF2.0,ID.RA-01,"Vulnerabilities in assets are identified, validated, and recorded",2,0.0581,No Match
CAND-00063,TSA-021,4.3,Conduct SVA for newly identified or constructed critical facilities within 12 months,CSF2.0,ID.RA-03,Internal and external threats to the organization are identified and recorded,3,0.0553,No Match
CAND-00064,TSA-022,4.3,Document findings from each assessment and retain until no longer valid,CSF2.0,GV.SC-03,"Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes",1,0.0415,No Match
CAND-00065,TSA-022,4.3,Document findings from each assessment and retain until no longer valid,CSF2.0,RC.CO-04,Public updates on incident recovery are shared using approved methods and messaging,2,0.0,No Match
CAND-00066,TSA-022,4.3,Document findings from each assessment and retain until no longer valid,CSF2.0,RC.RP-06,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed",3,0.0,No Match
CAND-00067,TSA-023,4.3,Implement appropriate SVA findings in timely fashion but no later than 24 months,CSF2.0,GV.RM-04,Strategic direction that describes appropriate risk response options is established and communicated,1,0.0444,No Match
CAND-00068,TSA-023,4.3,Implement appropriate SVA findings in timely fashion but no later than 24 months,CSF2.0,RC.CO-04,Public updates on incident recovery are shared using approved methods and messaging,2,0.0,No Match
CAND-00069,TSA-023,4.3,Implement appropriate SVA findings in timely fashion but no later than 24 months,CSF2.0,RC.RP-06,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed",3,0.0,No Match
CAND-00070,TSA-024,4.3,Document assessment methodology and make available for TSA review upon request,CSF2.0,PR.PS-04,Log records are generated and made available for continuous monitoring,1,0.0596,No Match
CAND-00071,TSA-024,4.3,Document assessment methodology and make available for TSA review upon request,CSF2.0,GV.SC-03,"Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes",2,0.0359,No Match
CAND-00072,TSA-024,4.3,Document assessment methodology and make available for TSA review upon request,CSF2.0,RC.RP-06,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed",3,0.0,No Match
CAND-00073,TSA-025,5.2,Develop a written policy and procedure to identify critical facilities,CSF2.0,ID.RA-10,Critical suppliers are assessed prior to acquisition,1,0.0486,No Match
CAND-00074,TSA-025,5.2,Develop a written policy and procedure to identify critical facilities,CSF2.0,GV.PO-01,"Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced",2,0.0418,No Match
CAND-00075,TSA-025,5.2,Develop a written policy and procedure to identify critical facilities,CSF2.0,GV.PO-02,"Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission",3,0.0384,No Match
CAND-00076,TSA-026,6.2,Develop and implement baseline security measures at all facilities,CSF2.0,ID.IM-02,"Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties",1,0.0235,No Match
CAND-00077,TSA-026,6.2,Develop and implement baseline security measures at all facilities,CSF2.0,GV.SC-09,"Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle",2,0.0178,No Match
CAND-00078,TSA-026,6.2,Develop and implement baseline security measures at all facilities,CSF2.0,RC.RP-06,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed",3,0.0,No Match
CAND-00079,TSA-027,6.2,Develop and implement both baseline and enhanced security measures at critical facilities,CSF2.0,ID.RA-10,Critical suppliers are assessed prior to acquisition,1,0.0493,No Match
CAND-00080,TSA-027,6.2,Develop and implement both baseline and enhanced security measures at critical facilities,CSF2.0,GV.OC-04,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated",2,0.0325,No Match
CAND-00081,TSA-027,6.2,Develop and implement both baseline and enhanced security measures at critical facilities,CSF2.0,RC.RP-04,Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms,3,0.0319,No Match
CAND-00082,TSA-028,6.3,"Develop, document, and implement site-specific security measures for critical facilities",CSF2.0,ID.RA-10,Critical suppliers are assessed prior to acquisition,1,0.0465,No Match
CAND-00083,TSA-028,6.3,"Develop, document, and implement site-specific security measures for critical facilities",CSF2.0,GV.OC-04,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated",2,0.0307,No Match
CAND-00084,TSA-028,6.3,"Develop, document, and implement site-specific security measures for critical facilities",CSF2.0,RC.RP-04,Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms,3,0.0301,No Match
CAND-00085,TSA-029,6.3,"Review site-specific security measures periodically, not to exceed 18 months",CSF2.0,ID.IM-02,"Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties",1,0.0177,No Match
CAND-00086,TSA-029,6.3,"Review site-specific security measures periodically, not to exceed 18 months",CSF2.0,GV.SC-09,"Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle",2,0.0134,No Match
CAND-00087,TSA-029,6.3,"Review site-specific security measures periodically, not to exceed 18 months",CSF2.0,RC.RP-06,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed",3,0.0,No Match
CAND-00088,TSA-030,T2,Employ measures to impede unauthorized access to facilities,CSF2.0,PR.IR-01,Networks and environments are protected from unauthorized logical access and usage,1,0.0999,Related
CAND-00089,TSA-030,T2,Employ measures to impede unauthorized access to facilities,CSF2.0,PR.PS-05,Installation and execution of unauthorized software are prevented,2,0.0645,No Match
CAND-00090,TSA-030,T2,Employ measures to impede unauthorized access to facilities,CSF2.0,PR.AA-06,"Physical access to assets is managed, monitored, and enforced commensurate with risk",3,0.0449,No Match
CAND-00091,TSA-031,T2,Create a security perimeter impeding unauthorized vehicles using barriers,CSF2.0,RC.RP-03,The integrity of backups and other restoration assets is verified before using them for restoration,1,0.0498,No Match
CAND-00092,TSA-031,T2,Create a security perimeter impeding unauthorized vehicles using barriers,CSF2.0,PR.PS-05,Installation and execution of unauthorized software are prevented,2,0.049,No Match
CAND-00093,TSA-031,T2,Create a security perimeter impeding unauthorized vehicles using barriers,CSF2.0,RC.CO-04,Public updates on incident recovery are shared using approved methods and messaging,3,0.0467,No Match
CAND-00094,TSA-032,T2,Maintain fences without gaps around gates or underneath fence line,CSF2.0,RC.CO-04,Public updates on incident recovery are shared using approved methods and messaging,1,0.0,No Match
CAND-00095,TSA-032,T2,Maintain fences without gaps around gates or underneath fence line,CSF2.0,RC.CO-03,Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders,2,0.0,No Match
CAND-00096,TSA-032,T2,Maintain fences without gaps around gates or underneath fence line,CSF2.0,RC.RP-06,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed",3,0.0,No Match
CAND-00097,TSA-033,T2,"Ensure clear zone several feet on either side of fence, free of obstructions",CSF2.0,PR.IR-04,Adequate resource capacity to ensure availability is maintained,1,0.0407,No Match
CAND-00098,TSA-033,T2,"Ensure clear zone several feet on either side of fence, free of obstructions",CSF2.0,GV.OV-02,The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks,2,0.0323,No Match
CAND-00099,TSA-033,T2,"Ensure clear zone several feet on either side of fence, free of obstructions",CSF2.0,RC.RP-06,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed",3,0.0,No Match
CAND-00100,TSA-034,T2,Employ measures to impede unauthorized persons from gaining facility access,CSF2.0,PR.IR-01,Networks and environments are protected from unauthorized logical access and usage,1,0.0796,No Match
CAND-00101,TSA-034,T2,Employ measures to impede unauthorized persons from gaining facility access,CSF2.0,PR.PS-05,Installation and execution of unauthorized software are prevented,2,0.0514,No Match
CAND-00102,TSA-034,T2,Employ measures to impede unauthorized persons from gaining facility access,CSF2.0,PR.AA-06,"Physical access to assets is managed, monitored, and enforced commensurate with risk",3,0.0358,No Match
CAND-00103,TSA-035,T2,Implement procedures for controlling access to facility and restricted areas,CSF2.0,ID.IM-03,"Improvements are identified from execution of operational processes, procedures, and activities",1,0.0394,No Match
CAND-00104,TSA-035,T2,Implement procedures for controlling access to facility and restricted areas,CSF2.0,PR.IR-01,Networks and environments are protected from unauthorized logical access and usage,2,0.0379,No Match
CAND-00105,TSA-035,T2,Implement procedures for controlling access to facility and restricted areas,CSF2.0,PR.AA-06,"Physical access to assets is managed, monitored, and enforced commensurate with risk",3,0.0377,No Match
CAND-00106,TSA-036,T2,Close and secure perimeter gates or entrances when not in use,CSF2.0,PR.DS-10,"The confidentiality, integrity, and availability of data-in-use are protected",1,0.0736,No Match
CAND-00107,TSA-036,T2,Close and secure perimeter gates or entrances when not in use,CSF2.0,ID.RA-09,The authenticity and integrity of hardware and software are assessed prior to acquisition and use,2,0.0595,No Match
CAND-00108,TSA-036,T2,Close and secure perimeter gates or entrances when not in use,CSF2.0,PR.PS-06,"Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle",3,0.0437,No Match
CAND-00109,TSA-037,T2,Post 'No Trespassing' or 'Authorized Personnel Only' signs at visible intervals,CSF2.0,DE.AE-06,Information on adverse events is provided to authorized staff and tools,1,0.0643,No Match
CAND-00110,TSA-037,T2,Post 'No Trespassing' or 'Authorized Personnel Only' signs at visible intervals,CSF2.0,PR.AA-01,"Identities and credentials for authorized users, services, and hardware are managed by the organization",2,0.0598,No Match
CAND-00111,TSA-037,T2,Post 'No Trespassing' or 'Authorized Personnel Only' signs at visible intervals,CSF2.0,DE.CM-03,Personnel activity and technology usage are monitored to find potentially adverse events,3,0.0502,No Match
CAND-00112,TSA-038,T2,Install and maintain gates of equivalent quality to attached barrier,CSF2.0,RC.CO-04,Public updates on incident recovery are shared using approved methods and messaging,1,0.0,No Match
CAND-00113,TSA-038,T2,Install and maintain gates of equivalent quality to attached barrier,CSF2.0,RC.CO-03,Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders,2,0.0,No Match
CAND-00114,TSA-038,T2,Install and maintain gates of equivalent quality to attached barrier,CSF2.0,RC.RP-06,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed",3,0.0,No Match
CAND-00115,TSA-039,T2,"Establish and document key control procedures for issuance, tracking, collection",CSF2.0,ID.IM-03,"Improvements are identified from execution of operational processes, procedures, and activities",1,0.0363,No Match
CAND-00116,TSA-039,T2,"Establish and document key control procedures for issuance, tracking, collection",CSF2.0,RS.AN-03,Analysis is performed to establish what has taken place during an incident and the root cause of the incident,2,0.0277,No Match
CAND-00117,TSA-039,T2,"Establish and document key control procedures for issuance, tracking, collection",CSF2.0,RC.RP-04,Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms,3,0.0262,No Match
CAND-00118,TSA-040,T2,Use patent keys to prevent unauthorized duplication,CSF2.0,PR.DS-10,"The confidentiality, integrity, and availability of data-in-use are protected",1,0.073,No Match
CAND-00119,TSA-040,T2,Use patent keys to prevent unauthorized duplication,CSF2.0,ID.RA-09,The authenticity and integrity of hardware and software are assessed prior to acquisition and use,2,0.0591,No Match
CAND-00120,TSA-040,T2,Use patent keys to prevent unauthorized duplication,CSF2.0,PR.PS-05,Installation and execution of unauthorized software are prevented,3,0.0562,No Match
CAND-00121,TSA-041,T2,Conduct key inventories every 24 months,CSF2.0,ID.AM-01,Inventories of hardware managed by the organization are maintained,1,0.0989,Related
CAND-00122,TSA-041,T2,Conduct key inventories every 24 months,CSF2.0,ID.AM-04,Inventories of services provided by suppliers are maintained,2,0.0948,Related
CAND-00123,TSA-041,T2,Conduct key inventories every 24 months,CSF2.0,ID.AM-02,"Inventories of software, services, and systems managed by the organization are maintained",3,0.0807,Related
CAND-00124,TSA-042,T2,Provide sufficient illumination for recognition of intrusion into perimeter,CSF2.0,RC.CO-04,Public updates on incident recovery are shared using approved methods and messaging,1,0.0,No Match
CAND-00125,TSA-042,T2,Provide sufficient illumination for recognition of intrusion into perimeter,CSF2.0,RC.CO-03,Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders,2,0.0,No Match
CAND-00126,TSA-042,T2,Provide sufficient illumination for recognition of intrusion into perimeter,CSF2.0,RC.RP-06,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed",3,0.0,No Match
CAND-00127,TSA-043,T2,"Provide critical facilities with security measures to monitor, detect unauthorized access",CSF2.0,PR.IR-01,Networks and environments are protected from unauthorized logical access and usage,1,0.0815,Related
CAND-00128,TSA-043,T2,"Provide critical facilities with security measures to monitor, detect unauthorized access",CSF2.0,PR.PS-05,Installation and execution of unauthorized software are prevented,2,0.0526,No Match
CAND-00129,TSA-043,T2,"Provide critical facilities with security measures to monitor, detect unauthorized access",CSF2.0,ID.RA-10,Critical suppliers are assessed prior to acquisition,3,0.0454,No Match
CAND-00130,TSA-044,T2,Develop identification and badging policies and procedures for secure area personnel,CSF2.0,DE.CM-03,Personnel activity and technology usage are monitored to find potentially adverse events,1,0.0507,No Match
CAND-00131,TSA-044,T2,Develop identification and badging policies and procedures for secure area personnel,CSF2.0,PR.PS-06,"Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle",2,0.04,No Match
CAND-00132,TSA-044,T2,Develop identification and badging policies and procedures for secure area personnel,CSF2.0,PR.AT-01,Personnel are provided with awareness and training so that they possess the knowledge and skills to perform general tasks with cybersecurity risks in mind,3,0.0381,No Match
CAND-00133,TSA-045,T2,"Ensure company or vendor identification available for examination, visibly displayed",CSF2.0,PR.PS-04,Log records are generated and made available for continuous monitoring,1,0.0564,No Match
CAND-00134,TSA-045,T2,"Ensure company or vendor identification available for examination, visibly displayed",CSF2.0,PR.IR-04,Adequate resource capacity to ensure availability is maintained,2,0.0389,No Match
CAND-00135,TSA-045,T2,"Ensure company or vendor identification available for examination, visibly displayed",CSF2.0,GV.OV-02,The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks,3,0.0309,No Match
CAND-00136,TSA-046,T2,"Ensure identification cards are secure from tampering, contain photograph and name",CSF2.0,PR.IR-04,Adequate resource capacity to ensure availability is maintained,1,0.0414,No Match
CAND-00137,TSA-046,T2,"Ensure identification cards are secure from tampering, contain photograph and name",CSF2.0,PR.PS-06,"Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle",2,0.0399,No Match
CAND-00138,TSA-046,T2,"Ensure identification cards are secure from tampering, contain photograph and name",CSF2.0,GV.OV-02,The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks,3,0.0329,No Match
CAND-00139,TSA-047,T2,Establish policies and procedures for applicant pre-employment screening,CSF2.0,ID.IM-03,"Improvements are identified from execution of operational processes, procedures, and activities",1,0.0405,No Match
CAND-00140,TSA-047,T2,Establish policies and procedures for applicant pre-employment screening,CSF2.0,GV.RR-03,"Adequate resources are allocated commensurate with the cybersecurity risk strategy, roles, responsibilities, and policies",2,0.0329,No Match
CAND-00141,TSA-047,T2,Establish policies and procedures for applicant pre-employment screening,CSF2.0,RS.AN-03,Analysis is performed to establish what has taken place during an incident and the root cause of the incident,3,0.0309,No Match
CAND-00142,TSA-048,T2,Conduct pre-employment background investigations for positions with unescorted control access,CSF2.0,PR.IR-01,Networks and environments are protected from unauthorized logical access and usage,1,0.0329,No Match
CAND-00143,TSA-048,T2,Conduct pre-employment background investigations for positions with unescorted control access,CSF2.0,PR.AA-06,"Physical access to assets is managed, monitored, and enforced commensurate with risk",2,0.0327,No Match
CAND-00144,TSA-048,T2,Conduct pre-employment background investigations for positions with unescorted control access,CSF2.0,PR.AA-05,"Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties",3,0.0219,No Match
CAND-00145,TSA-049,T2,"At minimum, investigations should verify identity, check criminal history, verify work authorization",CSF2.0,PR.AA-04,"Identity assertions are protected, conveyed, and verified",1,0.0614,No Match
CAND-00146,TSA-049,T2,"At minimum, investigations should verify identity, check criminal history, verify work authorization",CSF2.0,RC.CO-04,Public updates on incident recovery are shared using approved methods and messaging,2,0.0,No Match
CAND-00147,TSA-049,T2,"At minimum, investigations should verify identity, check criminal history, verify work authorization",CSF2.0,RC.RP-06,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed",3,0.0,No Match
